txid,size,ts_send,ts_accept,ts_commit,ts_error
5492ff4023a9ee4b013c0ca5996f161d9764c5d6d31996b6e230a7437cb0b4c1,765,1548409862065,1548409862212,1548409864929,
c4147afa99b8c2f163f42d79b143afad53f24f338f05ef786eb5d3a682381894,765,1548409862075,1548409862255,1548409864930,
347e4b08bcb5525a424a85a72e3b21eed7018715b99e56e35267aa7d2bf74ca5,765,1548409862086,1548409862262,1548409864930,
94608d9af5efea6de207ec99439bf7724cbcaeded1bb6db9c8beaee70a7f0eed,765,1548409862184,1548409862255,1548409864930,
e7b95262d19a29df064eb1a657c6ebe87d98b828dee5647596d33cf664e5852e,765,1548409862338,1548409862527,1548409864931,
374d73ff1045dae9e4894a79c5c5bb030d57eb96f1bd975dc73af66bb78d1dc6,765,1548409862428,1548409862534,1548409864931,
de523f0c5074b927d32ff9472ad31b4a91f1d32ce87d9a33965438cdf607f27c,765,1548409862292,1548409862531,1548409864931,
12433036e09c8c2d763dbb73e434bb06ad7599edf90db0a615eb887a6ca8078e,765,1548409862350,1548409862625,1548409864932,
55397e98012fc76adf0a06a510c622f69e60da4d10e5482f56fa3691c66215ac,765,1548409862328,1548409862618,1548409864932,
356ff18737d47dde1026d3abc38e45db1e140a53e195ecfe838de86e316b5a97,765,1548409862344,1548409862622,1548409864932,
c6c515c1545015744a1d718d802d5200c10e423f498930a4e3648b98add4e101,765,1548409862619,1548409862698,1548409864933,
7f5aa381f6444d6813705211dbd06450f81c546b36fdaa2c67cd91b722bc674b,765,1548409862623,1548409862694,1548409864933,
3f2d3a5c5d74bd73acd467073aaaf3b20e4078dcec700e05017b1ee11681646d,765,1548409862528,1548409862755,1548409864933,
12434f2973a5ecb4a717cb800009cf84c595054751099c683a5959755a972d94,765,1548409862626,1548409862819,1548409864934,
e6e218d31a09f8ceb328ee194d987e888d470de67914dcc1be723751b121c61a,765,1548409862428,1548409862754,1548409864934,
17299ee049a4ee586654216b842514d3be30287b9c8a83cdc4cd82e15e8e99d7,765,1548409862535,1548409862805,1548409864935,
698b535237f46042465deeee5e5a6256a3ce0a0d40934911322c769b963b2f24,765,1548409862694,1548409862774,1548409864935,
3dc387033b8b93347e3ffd980f46a38982c8d13e404f03786790b751fbdd30d3,765,1548409862755,1548409862789,1548409864935,
347962b748abf30f562af18639ae42fc6783ef8d17d3ee6e80c7952c2ca7a9ad,765,1548409862818,1548409862933,1548409864935,
26bffc4da1cf67529111a205743a8272d3e190da6dcad4847b047b17df62947b,765,1548409862699,1548409862818,1548409864936,
a904f1271de33a4388aa26c60ba96cb3ba8c61c3f21eeebb7b9f062054666dec,765,1548409862756,1548409862818,1548409864936,
41cc68b0bf02cf1fe5e100557e3cae82b2fef6d80b2c72442c39cc8e136ca099,765,1548409862774,1548409862805,1548409864936,
42eff78cd16ce6036ca7b8f7d535083f3040fa4fa9de6f23c0ad3449267316b3,765,1548409862820,1548409862871,1548409864936,
e29f1294f99c2b22833849b95e50e23fa5daa1670d817129fc494d5c05d9c338,765,1548409862865,1548409862922,1548409864936,
09accf9369c50de1aeb10cf8a38609665da6b8d097796c799be3cf4959241d87,765,1548409862922,1548409863051,1548409864937,
19f743bc85c5c6acbcc18bfa211d6e3c0e0ff59b474b3c15d2443efdc4992aa8,765,1548409862818,1548409862907,1548409864937,
01148db8921a4e444d9ad7a72f333f4972fdaafa76c3a97e153a9e55a1c13927,765,1548409862805,1548409862939,1548409864937,
4b9e81504f249c9987c92769853da83df207a75a1df315f8d7f9afb53de40761,765,1548409862531,1548409862864,1548409864937,
03373787b3ad9d884ab7db8f06a753483fbce53cdac4de67641dd6307401f98f,765,1548409862789,1548409862958,1548409864938,
6039642ff83ba18bc36fd40138b0fd68fce5984d81b747824a8e131f02f801ce,765,1548409862992,1548409863128,1548409864938,
07d87b5be02700f40b501e7683558add692eb2cdf0c07792f32606d1440b88c3,765,1548409862907,1548409862988,1548409864938,
85aebd508fe71346da44ad17191d9ee2c23ff2d0c9f09cf16870bbe80bc716d4,765,1548409862871,1548409862948,1548409864938,
0399967a36ed23024210f88c0ea77bb4b6d855fb535ab172803e93bdb67beaad,765,1548409862619,1548409862907,1548409864938,
7ef9ba35dfb52a6549c2077cc8143a50cd72b025af4a26c70eeb973477b0f854,765,1548409862805,1548409862991,1548409864939,
d6d3883aafe496cc57bdf87bb7ec4c1e4f005965ddb8d14e1a3ddf4b98a55046,765,1548409862958,1548409863047,1548409864939,
6f9a0b9b1bf37e8a36fa9853e0664bb65c42cdf27c64a77ff0012b8567878dda,765,1548409862933,1548409863103,1548409864939,
fedded19ec3d5ab82599aa8af1152623b19c101f23d9144fb7a8406c9be1d9b3,765,1548409862907,1548409863076,1548409864939,
cce5cf87b74ca9128dfba88b1ec8ebec651d6f35e05e1a1a3844507ff63e9968,765,1548409863052,1548409863127,1548409864940,
e4533c03d91e2346b8bd1ce4c670228d1f277b5b1adb13cae53743ac0c0e0ce8,765,1548409862940,1548409863120,1548409864940,
337180c7886ce566e3005eaae58a3592897976bb85ac44e78fe72e56f7e6ae26,765,1548409862949,1548409863153,1548409864940,
6ab27650885a6f3613b12682c61df72eca7746a720e9004eb8e153a423661450,765,1548409863169,1548409863247,1548409864940,
c1b3b26c406c32bb9b67dc51836cbe2e755871a34dec19d1990ad82d0f8a0947,765,1548409862989,1548409863147,1548409864940,
e8d879990260bd1b50444a79da8dd84932c1897eba457992cfe628e31460492c,765,1548409863127,1548409863220,1548409864941,
505cbc184fa001b4a14ccca03a028b5c1bdd01205d655e392e14f24a1e57390a,765,1548409863048,1548409863168,1548409864941,
d75b46257c8cee5a08741491e8a15a9ffc0db3efd124e7b16505f422c36e40df,765,1548409863076,1548409863175,1548409864941,
966e8df973b6907d8db4faad8bff3f9ebbee4433884c827a320c1348c3f6d02d,765,1548409863221,1548409863306,1548409864941,
7d0f3ed0fbf318ecdfb5bfb1ceda3c1a8c7cc4d48a52b94e06c77cfc1a1341b4,765,1548409863104,1548409863202,1548409864941,
022f5851f9b9afd7b497c6041a14119c475073aeaf1977779d6b1c23807db97b,765,1548409863128,1548409863259,1548409864941,
c28184f47dc67ff746e367ecd8a59001e1d704ea83f47e30d372f73248d25007,765,1548409863121,1548409863226,1548409864942,
6954ce51f3fd0ef3d4d682bd71bff1f169f22745b3466a523d14643860f33e46,765,1548409863148,1548409863252,1548409864942,
47851c5fb35f22e80cb9f070249211baebc996f433fe4bb00f04a330417c18d2,765,1548409863154,1548409863281,1548409864942,
a30c5ed40f01705d84b7d7de4e5c2b321a70dd1ffaca6d47bd0280b46f9f54da,765,1548409863175,1548409863275,1548409864942,
c48f7ba73c9ede52965f08ce034d691163429983fb5e1a6ce74b562c37a4bd49,765,1548409863252,1548409863329,1548409864943,
d28891ad98ce07c72936fcc8ee8e43923e692cc0d8f01cf1db70e7e36683f211,765,1548409863247,1548409863378,1548409864943,
aff11c7cfec8996f3d061824d2229544c426850e3f92766f449b3832692e1e68,765,1548409863275,1548409863375,1548409864943,
f17adcfac5f9b69215498f058c267193f77d6ee8268e527b235e6efcea584a75,765,1548409863202,1548409863285,1548409864943,
8e85e3fe2f436814080df37b49baec7eb0cc1b41567f813e4cdba5aa5d8c2280,765,1548409863399,1548409863613,1548409864943,
2b5c493beb3102f89acbbc4643a39ac61be2edc73a79959b746c08709c3fd4f1,765,1548409863587,1548409863937,1548409864944,
8c3529dc7f9eb92073a87835af5ce5defcc7fc4f33494b037420e57903827ffa,765,1548409863351,1548409863574,1548409864944,
12c1016fc808daf253e8013409a1023c49af2341044361edee43bc595399784b,765,1548409863285,1548409863351,1548409866060,
e0921fc996f3a714c2a938c6af2fd719142914497774276b3c906ec55f6e4327,765,1548409863226,1548409863375,1548409866063,
20a045c38d7bbe028b62127f9b041169f4194ff75438caf919180f49ab968c8b,765,1548409863259,1548409863378,1548409866064,
6572c11532e712f932389b7fa3f0ac97bcca73285d440f0cc70c7a410aa366e6,765,1548409863282,1548409863399,1548409866064,
a67aa71a4c53bda58f955b739ec8b7969e92627bca562b189610def984a63daa,765,1548409863307,1548409863448,1548409866065,
6e2f4dee32085e04ff5a002c55502b3802cc938b6db892e66444370a5317668e,765,1548409863375,1548409863481,1548409866065,
3090138eb14203c7e782ed977eb73611bc097a91e36558850625f1e82f58118a,765,1548409863448,1548409863511,1548409866066,
e6d3988241093743f01026cf89f63eea1a6a0eda1698dc737ca0c9d624b0d1c0,765,1548409863330,1548409863587,1548409866066,
842e945cd026ce68012163e279e517b04f612f73bdaf1abf96577e8cd578583d,765,1548409863379,1548409863587,1548409866066,
42b7c625e779f561d42b13fa8dcbc57f8494fcd44042395dbeccdaf746606429,765,1548409863512,1548409863626,1548409866067,
21b834b4e7d27a9eae5d58e3cf0d3df01472367dd9baee2f35010305904180f8,765,1548409863614,1548409863959,1548409866067,
bd350610f71b1d56dd5451db4384ee2801d5ab583a55bec09866a55ad6150699,765,1548409863376,1548409863611,1548409866068,
c9fbe21d898bb019c4ae66839ee90f51851b9009ffefeed4cff9df08ef59b0ab,765,1548409863379,1548409863611,1548409866068,
c9183be88272054c3bc77785dd523e631ae441355aaa440a4d0b0900ad759576,765,1548409863482,1548409863739,1548409866069,
55db7e8005c533a0e73466f67d7b6f1ae24c93d7894236a5dc28961fea4d5cd3,765,1548409863574,1548409863849,1548409866069,
3ea78ddb7c6ca49c5006d5722900219fa269fb781e5ad271b476da378fe27d31,765,1548409863587,1548409863908,1548409866070,
818b89db383f3c08a991b9749801d8b4222b7db6f853985aaba4005583a0e8ec,765,1548409863612,1548409863899,1548409866070,
23cff7e33699a9ba0d9630d9c9ffac9dc9f16ee6687fe40e854447372b8468ce,765,1548409863626,1548409863909,1548409866071,
b1a1ca13a535ee1e224fdc137a256595df0342950b6eed4a79fbc4b2504d0b1b,765,1548409864033,1548409864059,1548409866071,
cff027d86f8e0dbeb17ddcde276125c54522d0ae2fc25b34ecc3b243ea7a26b9,765,1548409864053,1548409864127,1548409866072,
64ba95ea609d687676755a827b929df6fc267c9d70f5603ce0263e57aa696a7c,765,1548409863611,1548409863994,1548409866072,
53a49c5a9691bdc785c3f76937b81573812c3a8b2a062b7b432d514c59cdf232,765,1548409863740,1548409864003,1548409866075,
53f92a2b9a4412b90fa1f55a95f295d0b6ec9d0552f726d5f940c029a72c1091,765,1548409863909,1548409864033,1548409866076,
9c0a949d33611827e67d5b7c013e4707a5c3fe7cc99164216da3a7ea6d733989,765,1548409863994,1548409864086,1548409866077,
31d666e8df86105c84803bf57426aa5e69df834e94dad9fc758205ec57b8aa6a,765,1548409863899,1548409864024,1548409866077,
63bbbe1ca5d07786756bc28e01a32b6d530da2b2fd7bb11a3e7762078dd9208b,765,1548409863938,1548409864053,1548409866078,
4ed6441ac4dd3522a688a4c28ea65fe9836da06f325bbb5ec6c78694dc669c87,765,1548409863849,1548409864030,1548409866078,
24d5f94ab4bd5a75c7ac27ae8199c909d854b0949eb2a5937d557d2f67589b46,765,1548409864031,1548409864109,1548409866079,
cd23df348b3b59061d75bb50b95b7e72024e9a0636606ff415b2a1884dad3e29,765,1548409863959,1548409864040,1548409866079,
3d74a7aa66a518c7ce10fbdab507b7bdfaee8a17d1cca631aef1fe27b35e5093,765,1548409864004,1548409864083,1548409866080,
e9745427e1ff862ee79e7ec640b0049eb209a9b9ca4acbd008509fb81b944304,765,1548409864059,1548409864118,1548409866080,
ce8f966ebfb08653f4225ea10aff6483c1641ae18c7db0c429edcf6a740e05d2,765,1548409863910,1548409864095,1548409866081,
7ec009cfa2a8831051255ebc685610f9cbadd3dc798a9fbbc43a8d8ecc4f47be,765,1548409864024,1548409864172,1548409866082,
659563ce12e3a2be491dc6f509ccfd85e07cd9e2fe8b7536345c49470af9c1d7,765,1548409864229,1548409864302,1548409866082,
6c4e908460784d2d53071adaa7ac2e7959fa8d5a5b2bb10639884182c9ecbe63,765,1548409864249,1548409864320,1548409866083,
4728d111bd0013e3483aefb35f2fe38bb3b357e8440123e73b9bc4b3d4c3da9c,765,1548409864041,1548409864178,1548409866083,
056dbc74420b99173db5cbc9850f930054ee2548c0fc79bbab80e831879b3873,765,1548409864172,1548409864270,1548409866084,
b10b642573766d476925635ab3c07bad2449c0079bca62bddc57da1080f7dc8a,765,1548409864084,1548409864234,1548409866084,
a34777fc887b40c311419a2858926608dc5627e44bad2ddaa296a4931f717702,765,1548409864086,1548409864274,1548409866084,
6dd81c4367059e0a11cfd148a2e823df67fc690fc37ace96cd7ad2286c094735,765,1548409864119,1548409864229,1548409866085,
9a9f051cb3c8d689558361a851e7485eed29e1c192ae3301bcf5d1418d36f29b,765,1548409864178,1548409864289,1548409866085,
